原相对路径(库根),垃圾件内相对路径,类别,大小
01_商业音效包/Multiply Sound Film Score Bundle/悟空资源 宿主插件音色采样.url,01_商业音效包/Multiply Sound Film Score Bundle/悟空资源 宿主插件音色采样.url,广告快捷方式,124
01_商业音效包/Pro Sound Effect/US04/人人素材网说明文件.rar,01_商业音效包/Pro Sound Effect/US04/人人素材网说明文件.rar,广告包,30636
01_商业音效包/Pro Sound Effect/US04/最专业的CG素材与教程分享网站.url,01_商业音效包/Pro Sound Effect/US04/最专业的CG素材与教程分享网站.url,广告快捷方式,228
01_商业音效包/Pro Sound Effect/Sound Design - Sci-Fi/变形金刚科幻震撼音效/人人素材网.rar,01_商业音效包/Pro Sound Effect/Sound Design - Sci-Fi/变形金刚科幻震撼音效/人人素材网.rar,广告包,30121
01_商业音效包/[Sound.Ideas]Thunder Sound Effects/Thumbs.db,01_商业音效包/[Sound.Ideas]Thunder Sound Effects/Thumbs.db,Thumbs.db,16384
01_商业音效包/Rock The Speakerbox - Broken/Designed/AJ音乐大合集-AE模板常用配乐.url,01_商业音效包/Rock The Speakerbox - Broken/Designed/AJ音乐大合集-AE模板常用配乐.url,广告快捷方式,335
01_商业音效包/Rock The Speakerbox - Broken/LookAE.com/LookAE官网淘宝店.url,01_商业音效包/Rock The Speakerbox - Broken/LookAE.com/LookAE官网淘宝店.url,广告快捷方式,52
01_商业音效包/Rock The Speakerbox - Broken/LookAE.com/FCPX资源站  专注 Final Cut Pro X.url,01_商业音效包/Rock The Speakerbox - Broken/LookAE.com/FCPX资源站  专注 Final Cut Pro X.url,广告快捷方式,152
01_商业音效包/Rock The Speakerbox - Broken/LookAE.com/LookAE.com  大众脸影视后期特效.url,01_商业音效包/Rock The Speakerbox - Broken/LookAE.com/LookAE.com  大众脸影视后期特效.url,广告快捷方式,249
01_商业音效包/Rock The Speakerbox - Broken/LookAE.com/Mac解决身份不明的开发者程序安装.url,01_商业音效包/Rock The Speakerbox - Broken/LookAE.com/Mac解决身份不明的开发者程序安装.url,广告快捷方式,52
01_商业音效包/[Sound.Ideas]Drone Archeology/吾爱素材网资源总查询.url,01_商业音效包/[Sound.Ideas]Drone Archeology/吾爱素材网资源总查询.url,广告快捷方式,254
01_商业音效包/Bluezone Corporation(76)/[Bluezone.Corporation]Artificial FX/www.bluezone-corporation.com.url,01_商业音效包/Bluezone Corporation(76)/[Bluezone.Corporation]Artificial FX/www.bluezone-corporation.com.url,广告快捷方式,91
01_商业音效包/Bluezone Corporation(76)/[Bluezone.Corporation]Downtempo Box/AIF/Download Bluezone Corporation Downtempo Box ProducerLoops.com.URL,01_商业音效包/Bluezone Corporation(76)/[Bluezone.Corporation]Downtempo Box/AIF/Download Bluezone Corporation Downtempo Box ProducerLoops.com.URL,广告快捷方式,103
"01_商业音效包/Bluezone Corporation(76)/[Bluezone.Corporation]Filtered Keys/Chillout Samples, Ambient Sample Packs, Piano Samples, Ambient Chords, Download Ambient Sounds.URL","01_商业音效包/Bluezone Corporation(76)/[Bluezone.Corporation]Filtered Keys/Chillout Samples, Ambient Sample Packs, Piano Samples, Ambient Chords, Download Ambient Sounds.URL",广告快捷方式,112
