src	dst	note
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/04 - Moments/Moments - Tube/TB 07 Light The Way.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/04 - Moments/Moments - Tube/TB 07 Light The Way.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/04 - Moments/Moments - Tube/TB 03 Waiting For More.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/04 - Moments/Moments - Tube/TB 03 Waiting For More.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/04 - Moments/Moments - Tube/TB 08 Upon The Hill A.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/04 - Moments/Moments - Tube/TB 08 Upon The Hill A.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/04 - Moments/Moments - Tube/TB 02 The Horizon.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/04 - Moments/Moments - Tube/TB 02 The Horizon.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/04 - Moments/Moments - Tube/TB 09 Upon The Hill B.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/04 - Moments/Moments - Tube/TB 09 Upon The Hill B.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/04 - Moments/Moments - Tube/TB 10 Home.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/04 - Moments/Moments - Tube/TB 10 Home.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/04 - Moments/Moments - Tube/TB 04 Hopes and Prayers.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/04 - Moments/Moments - Tube/TB 04 Hopes and Prayers.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/04 - Moments/Moments - Tube/TB 05 Waiting Still.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/04 - Moments/Moments - Tube/TB 05 Waiting Still.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/04 - Moments/Moments - Tube/TB 01 Sacred Ground.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/04 - Moments/Moments - Tube/TB 01 Sacred Ground.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/04 - Moments/Moments - Tube/TB 06 Given Up.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/04 - Moments/Moments - Tube/TB 06 Given Up.wav	
